epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,313.048,2.8658,4.60168,1.82576,0.00712,0.26683,0.01126,0.00357,2.46135,4.5366,1.70011,0.000164815,0.000164815,0.000164815
2,896.348,2.60908,3.67263,1.54879,0.37528,0.10351,0.02786,0.00862,2.55055,3.54968,1.74457,0.000315073,0.000315073,0.000315073
3,1218.28,2.55191,3.28043,1.54919,0.22065,0.08488,0.04255,0.01343,2.50905,3.59207,1.69642,0.000448831,0.000448831,0.000448831
4,1530.56,2.48837,3.10389,1.5451,0.28571,0.11631,0.05065,0.01728,2.51383,3.17005,1.6961,0.00042575,0.00042575,0.00042575
5,1838.49,2.46164,2.99756,1.52472,0.318,0.10197,0.04876,0.01559,2.46687,3.14436,1.66851,0.000401,0.000401,0.000401
6,2141.77,2.44294,2.91082,1.51558,0.23317,0.12209,0.07459,0.02472,2.44118,3.22879,1.68599,0.00037625,0.00037625,0.00037625
7,2445.95,2.40735,2.84613,1.4883,0.09825,0.17469,0.07948,0.0289,2.4389,3.16512,1.70688,0.0003515,0.0003515,0.0003515
8,2748.86,2.39411,2.79824,1.50092,0.10456,0.12912,0.06699,0.02243,2.4173,2.9514,1.63316,0.00032675,0.00032675,0.00032675
9,3053.22,2.38216,2.75218,1.4836,0.21694,0.15778,0.09088,0.03079,2.38461,2.98708,1.61077,0.000302,0.000302,0.000302
10,3356.65,2.36614,2.70807,1.47508,0.17371,0.17096,0.08378,0.02785,2.45194,2.9177,1.62824,0.00027725,0.00027725,0.00027725
11,3649.01,2.32205,2.78244,1.51429,0.27424,0.17744,0.0946,0.03349,2.38109,2.97373,1.62982,0.0002525,0.0002525,0.0002525
12,3942.2,2.3159,2.69582,1.5135,0.13134,0.18145,0.10166,0.03633,2.3758,3.08696,1.63144,0.00022775,0.00022775,0.00022775
13,4234.42,2.28817,2.6284,1.49424,0.15992,0.17255,0.1187,0.04139,2.37913,2.74383,1.62126,0.000203,0.000203,0.000203
14,4527.39,2.27739,2.58571,1.49199,0.16771,0.1819,0.11175,0.03885,2.38485,2.78427,1.63927,0.00017825,0.00017825,0.00017825
15,5303.08,2.26988,2.56177,1.48543,0.17232,0.20627,0.12907,0.04403,2.3941,2.70546,1.61841,0.0001535,0.0001535,0.0001535
16,6082.08,2.25035,2.53077,1.48479,0.20089,0.20481,0.14738,0.05053,2.36627,2.71075,1.62141,0.00012875,0.00012875,0.00012875
17,6832.4,2.23614,2.4832,1.47087,0.21214,0.22176,0.15407,0.05448,2.36758,2.66486,1.6247,0.000104,0.000104,0.000104
18,7580.38,2.23287,2.48992,1.47458,0.2073,0.20411,0.15377,0.05431,2.40052,2.64175,1.64338,7.925e-05,7.925e-05,7.925e-05
19,8215.92,2.22673,2.45588,1.47337,0.19702,0.22707,0.15238,0.05426,2.39644,2.59982,1.63076,5.45e-05,5.45e-05,5.45e-05
20,8966.22,2.22192,2.42498,1.4572,0.20617,0.25703,0.16542,0.05749,2.36931,2.60843,1.61547,2.975e-05,2.975e-05,2.975e-05
